unit,Baskets_combined_simplified,Latest basket (2021),n (world),grouping,group,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,ITU BDT Regions,Africa,133.46,73.37,51.58,47.075,40.19,33.72706669,25.89308866,23.49936741,19.775,20.84285484,19.90795891,19.90795891,18.42847115,17.68373811
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,ITU BDT Regions,Arab States,3.9,3.465,3.315,2.73,2.075,2.041677995,1.973525314,1.996842276,2.26,1.937898625,3.061518064,3.061518064,3.021085097,3.274224324
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,ITU BDT Regions,Asia & Pacific,7.395,6.07,5.87,5.625,4.905,4.06136619,3.258475728,4.010363099,3.87,3.003165109,2.838554436,2.953756194,2.961143025,3.082479616
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,ITU BDT Regions,CIS countries,7.905,6.695,3.21,2.415,1.885,1.820560906,1.726231555,1.35669307,0.945,1.366045571,1.364819278,1.364819278,1.224277634,1.263574078
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,ITU BDT Regions,Europe countries,1.55,1.28,1.21,1.16,1.11,1.233865207,1.167993558,0.977673324,1.11,1.221194137,1.277933467,1.348246326,1.257452646,1.281569336
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,ITU BDT Regions,The Americas,9.03,6.535,6.59,5.26,5.255,4.830786439,4.289851165,4.141089848,3.71,4.532640127,4.340397843,4.696203461,4.73402023,5.132914294
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,World,World,5.18,5.16,3.78,3.27,3.11,3.013162271,2.901561207,2.329992149,2.57,2.505071387,2.834338009,2.842770863,2.766115492,2.983999672
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,LDC,LDC,151.41,117.35,72.97,50.68,53.9,41.23186514,23.83354026,20.68629113,19.52,24.241735,20.0599863,20.0599863,18.7501022,18.52410149
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,LLDC,LLDC,50.23,46.73,50.43,45.75,13.3,11.46695242,8.230548524,7.807313409,9.56,9.114902754,6.501588575,6.501588575,6.226742718,7.394748427
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,SIDS,SIDS,10.22,6.63,6.48,5.68,6.28,5.158360787,4.489721334,4.297794634,4.08,4.528309007,4.498977505,5.453306067,5.16656114,5.084638037
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,WB Income levels 2021,Low income,448.78,258.65,318.185,107.1,95.5,98.29914517,91.52845434,71.56242988,62.885,78.57435687,41.21173849,41.21173849,35.84941418,39.19285559
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,WB Income levels 2021,Lower middle income,46.6,42.54,28.1,16.26,13.57,11.86514355,10.65603556,10.16662632,9.98,8.690807799,8.849078601,8.849078601,9.466917563,11.5639587
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,WB Income levels 2021,Upper middle income,7.11,5.85,4.71,4.315,3.805,3.408998858,3.17984013,2.806274512,3.135,3.064101596,3.156735897,3.323103691,3.07213258,3.511178155
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,WB Income levels 2021,High income,1.155,1.04,0.995,0.98,0.995,0.99163478,1.090998216,0.958189646,0.995,1.145030085,1.153282131,1.127306176,1.082166398,1.187338655
GNIpc,Fixed broadband basket,Fixed broadband basket (5GB),133,WB Income levels 2021,low and middle income,13.41,11.57,8.78,7.26,6.67,5.248210569,5.276970631,5.112225957,4.97,4.932675477,4.777247437,4.975681529,4.976424955,5.714222313
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,ITU BDT Regions,Africa,NA,NA,NA,NA,NA,18.6,14.285,11.615,9.059279593,7.989160038,5.139765152,5.139765152,4.431500727,5.121122314
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,ITU BDT Regions,Arab States,NA,NA,NA,NA,NA,1.35,1.6,1.28,1.137219782,1.25498008,1.034806875,1.295332127,1.024925422,1.155745275
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,ITU BDT Regions,Asia & Pacific,NA,NA,NA,NA,NA,2.875,2.45,1.885,2.047026544,1.765481063,1.36557965,1.063680261,1.254459245,1.176536207
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,ITU BDT Regions,CIS countries,NA,NA,NA,NA,NA,1.46,1.41,1.08,0.678657551,0.929159981,1.394321842,1.394321842,0.956597701,1.051604061
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,ITU BDT Regions,Europe countries,NA,NA,NA,NA,NA,0.75,0.73,0.59,0.596167114,0.638407738,0.719428958,0.808164722,0.557846287,0.51157442
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,ITU BDT Regions,The Americas,NA,NA,NA,NA,NA,3.43,2.49,2.61,2.295545367,2.646196256,2.412612588,2.386328239,2.333113603,2.429804203
