IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,Aruba,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,2.81,NA,2.91,3.08,2.66,2.58
ABW,Aruba,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,65.94,NA,68.34,72.48,70.87,70.87
ABW,Aruba,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,28.06,NA,NA,57.24,NA,57.24,60.72,60.72,60.72
ABW,Aruba,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,1.96,NA,1.39,1.39,1.2,1.16
ABW,Aruba,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,45.96,NA,32.68,32.68,31.95,31.95
ABW,Aruba,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,39.9,NA,27.37,27.37,27.37,27.37
ABW,Aruba,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,1.26,1.35,1.16,1.13
ABW,Aruba,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,32.1,NA,29.73,31.64,30.93,30.93
ABW,Aruba,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,27.6,NA,NA,27.9,NA,24.91,26.5,26.5,26.5
ABW,Aruba,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,1.47,1.42
ABW,Aruba,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.02,40.02,39.12,39.12
ABW,Aruba,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.52,33.52,33.52,33.52
ABW,Aruba,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,1.47,1.42
ABW,Aruba,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.02,40.02,39.12,39.12
ABW,Aruba,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.52,33.52,33.52,33.52
AFG,Afghanistan,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,37.1,38.53,36.72,28.99,24.76,15.13,15.13,15.15,15.22
AFG,Afghanistan,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,NA,61.5,61.5,50.02,38.5,23.61,23.61,29.18,29.18
AFG,Afghanistan,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,22.57,21.84,20.81,14.73,11.76,6.94,6.94,6.53,6.47
AFG,Afghanistan,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,20.72,21.52,10.28,10.15,10.83,9.08,9.08,10.79,12.14
AFG,Afghanistan,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,35.35,34.34,17.22,17.51,16.84,14.17,14.17,20.78,23.29
AFG,Afghanistan,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,12.6,12.19,5.83,5.16,5.15,4.16,4.16,4.65,5.16
AFG,Afghanistan,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,9.68,10,9.6,9.4,10.09,7.06,7.06,7.06,7.4
AFG,Afghanistan,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,NA,16,16,16.3,15.69,11.01,11.01,13.6,14.18
AFG,Afghanistan,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,5.89,5.7,5.4,4.8,4.79,3.23,3.23,3.04,3.15
AFG,Afghanistan,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.47,13.47,16.12,11.57
AFG,Afghanistan,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01,21.01,31.05,22.18
AFG,Afghanistan,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17,6.17,6.95,4.92
AFG,Afghanistan,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.79,21.79,26.28,21.46
AFG,Afghanistan,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,50.6,41.15
AFG,Afghanistan,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.99,9.99,11.33,9.12
