IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
KHM,Cambodia,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Asia & Pacific,LDC,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.87,34.87,37.34,41.08
KHM,Cambodia,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Asia & Pacific,LDC,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.25,14.25,13.55,14.55
KIR,Kiribati,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,106.85,91.67,76.4,65.8,82.71,NA,NA,NA,NA
KIR,Kiribati,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIR,Kiribati,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,241.31,225.35,187.82,185.87,191.61,NA,NA,NA,NA
KIR,Kiribati,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,22.92,52.64,33.08,5.71,5.71,5.14,5.62
KIR,Kiribati,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.53,19.57
KIR,Kiribati,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,56.34,148.7,76.64,14.94,14.94,13.69,15.4
KIR,Kiribati,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,8.02,10.2,8.5,5.5,6.96,5.77,5.77,4.47,4
KIR,Kiribati,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.99,13.94
KIR,Kiribati,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,18.12,25,20.8,15.6,16.12,15.09,15.09,11.91,10.98
KIR,Kiribati,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.48,11.48,9.61,9.63
KIR,Kiribati,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.51,33.51
KIR,Kiribati,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.04,30.04,25.59,26.38
KIR,Kiribati,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,18.1,16.3,14.47
KIR,Kiribati,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.9,50.39
KIR,Kiribati,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Asia & Pacific,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.37,47.37,43.38,39.67
KNA,Saint Kitts and Nevis,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,3.14,2.95,2.83,2.8,2.74,2.27,2.76,2.74,3.3
KNA,Saint Kitts and Nevis,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,45.45,43.62,45.15,47.98,46.7,56.94,47.07,52.94
KNA,Saint Kitts and Nevis,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,36.67,36.67,35.19,35.19,36.67,35.19,42.9,42.9,47.23
KNA,Saint Kitts and Nevis,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,1.16,1.15,1.08,1.57,2.38,2.37,2.59
KNA,Saint Kitts and Nevis,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,17.91,18.54,18.9,32.44,49.15,40.64,41.51
KNA,Saint Kitts and Nevis,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,14.44,14.44,14.44,24.44,37.04,37.04,37.04
KNA,Saint Kitts and Nevis,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,1.96,1.5,1.5,2,1.88,1.59,1.58,1.57,1.71
KNA,Saint Kitts and Nevis,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,23.5,23.5,32.2,32.85,32.84,32.59,26.94,27.52
KNA,Saint Kitts and Nevis,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,22.87,19,19,25.1,25.1,24.74,24.56,24.56,24.56
KNA,Saint Kitts and Nevis,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38,NA,2.37,2.59
KNA,Saint Kitts and Nevis,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.15,NA,40.64,41.51
KNA,Saint Kitts and Nevis,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.03,37.04,37.04,37.04
KNA,Saint Kitts and Nevis,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27,2.38,2.37,2.59
KNA,Saint Kitts and Nevis,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.34,49.15,40.64,41.51
KNA,Saint Kitts and Nevis,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,The Americas,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.74,37.04,37.04,37.04
KOR,Korea (Rep. of),Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Asia & Pacific,NA,NA,NA,High income,0.95,1.44,1.45,1.36,1.3,1.27,1.26,1.29,1.49,1.48,1.23,1.23,1.11,1.11
KOR,Korea (Rep. of),Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Asia & Pacific,NA,NA,NA,High income,22.67,33.39,33.08,32.89,32.9,32.8,32.74,36.01,38.19,39.45,36.02,36.02,35.72,35.27
KOR,Korea (Rep. of),Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Asia & Pacific,NA,NA,NA,High income,18.15,25.32,25.72,25.72,26.63,27.4,28.49,29.17,34.13,35.03,31.48,31.48,28.77,30.9
KOR,Korea (Rep. of),Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Asia & Pacific,NA,NA,NA,High income,NA,NA,NA,NA,NA,1.12,1.11,0.43,0.41,0.41,0.59,0.44,0.4,0.53
KOR,Korea (Rep. of),Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Asia & Pacific,NA,NA,NA,High income,NA,NA,NA,NA,NA,28.86,28.81,12,10.61,10.96,17.15,12.86,12.76,16.79
KOR,Korea (Rep. of),Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Asia & Pacific,NA,NA,NA,High income,NA,NA,NA,NA,NA,24.11,25.07,9.72,9.48,9.73,14.99,11.24,10.27,14.71
KOR,Korea (Rep. of),Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Asia & Pacific,NA,NA,NA,High income,1.01,0.37,1.27,1.16,0.88,0.35,0.9,0.8,1.2,1.23,1.17,1.17,0.8,0.67
KOR,Korea (Rep. of),Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Asia & Pacific,NA,NA,NA,High income,23.95,9.16,28.97,27.85,22.31,22.24,22.2,22.2,31.7,32.77,34.19,34.19,25.51,21.27
KOR,Korea (Rep. of),Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Asia & Pacific,NA,NA,NA,High income,19.17,6.46,18.58,22.53,21.78,7.53,19.3,18,28.3,29.1,29.88,29.88,20.55,18.64
KOR,Korea (Rep. of),Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Asia & Pacific,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,0.78,0.78,0.7
KOR,Korea (Rep. of),Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Asia & Pacific,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.05,22.73,24.92,22.39
KOR,Korea (Rep. of),Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Asia & Pacific,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.89,19.86,20.07,19.62
KOR,Korea (Rep. of),Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Asia & Pacific,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,1.1,0.8,0.85
