IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CHL,Chile,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,The Americas,NA,NA,NA,High income,NA,NA,NA,NA,NA,1.57,1.4,1.46,1.24,1.36,0.89,0.89,0.72,0.48
CHL,Chile,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,The Americas,NA,NA,NA,High income,NA,NA,NA,NA,NA,25.18,24.29,29.2,23.9,21.95,15.18,15.15,12.27,8.33
CHL,Chile,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,The Americas,NA,NA,NA,High income,NA,NA,NA,NA,NA,19.99,17.36,18.19,14.62,15.4,10.92,10.9,7.48,5.59
CHL,Chile,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,The Americas,NA,NA,NA,High income,3.07,2.59,2.65,2.31,1.9,1.98,1.8,1.6,1.6,1.1,1.25,1.25,1.12,0.62
CHL,Chile,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,The Americas,NA,NA,NA,High income,37.14,32.83,32.37,32.46,28.11,31.7,32.2,32.2,31.6,17.79,21.25,21.25,19.22,10.83
CHL,Chile,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,The Americas,NA,NA,NA,High income,25.68,21.43,25.17,23.71,23.71,25.17,23,20,19.4,12.48,15.28,15.28,11.72,7.27
CHL,Chile,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,The Americas,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,1.07,0.84,0.62
CHL,Chile,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,The Americas,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.21,18.19,14.31,10.83
CHL,Chile,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,The Americas,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,13.08,8.73,7.27
CHL,Chile,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,The Americas,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,1.52,1.13,0.67
CHL,Chile,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,The Americas,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,25.78,19.42,11.67
CHL,Chile,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,The Americas,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.56,18.54,11.85,7.83
CHN,China,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Asia & Pacific,NA,NA,NA,Upper middle income,7.36,5.86,5.04,4.36,4.98,3.46,3.17,3.12,2.42,2.17,0.57,0.57,0.51,0.5
CHN,China,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Asia & Pacific,NA,NA,NA,Upper middle income,36.41,33.72,33.18,32.47,40.35,31.92,31.81,31.81,27.73,27.55,7.87,7.87,7.18,7.1
CHN,China,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Asia & Pacific,NA,NA,NA,Upper middle income,18.71,17.62,17.82,17.82,23.76,19.37,19.53,19.27,15.95,15.68,4.53,4.53,4.28,4.65
CHN,China,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,2.89,1.32,1.3,1.14,1.02,0.96,0.96,0.51,0.5
CHN,China,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,26.6,13.25,13.25,13.08,13,13.11,13.11,7.18,7.1
CHN,China,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,16.14,8.14,8.03,7.53,7.4,7.56,7.56,4.28,4.65
CHN,China,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Asia & Pacific,NA,NA,NA,Upper middle income,2.3,1.97,1.7,1.31,0.49,0.73,0.7,0.7,0.6,0.4,0.38,0.38,0.28,0.35
CHN,China,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Asia & Pacific,NA,NA,NA,Upper middle income,11.35,11.39,11.2,9.74,3.97,6.65,6.6,6.6,7.3,5.11,5.22,5.22,4,4.97
CHN,China,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Asia & Pacific,NA,NA,NA,Upper middle income,5.83,5.93,4.04,6.02,5.35,4.06,4.1,4,4.2,2.91,3.01,3.01,2.38,3.25
