"ITU ICT Price Baskets, 2008-2021",,

Overview,,

Sheet,Content,Notes
ICT Price Baskets 2008-2021,"Data for countries and economies, 2008-2021","ICT prices based on current and historical basket definitions in terms of USD, PPP$ and as a % of monthly GNI per capita."
Medians 2008-2021,"Medians for country groups, 2008-2021","Historical medians for country groups were only calculated for the subset of economies with data available for all years. The number of countries included in a given calculation (for the world) is shown in the column ""N (world)"". Country groups were defined according to 2021 classifications (UN M49, World Bank income groups 2021, ITU BDT regions)."
BasketHistory,Table mapping historical price baskets,The definition of ICT price baskets has changed from time to time. This mapping table helps mapping historical price baskets to those currently used allowing a longer time series.

Methodology:,,
"For the definition of current and historical baskets, identification of representative operators, plans (and add-ons), distribution of calls, price conversions, etc., please refer to the ITU ICT Price webpage:",,
https://www.itu.int/en/ITU-D/Statistics/Pages/ICTprices/default.aspx,,

Data source:,,
,ICT Price data:,ITU (2008-2019 price data); ITU and A4AI (2020-2021 price data)
,"GNI per capita, PPP rates:",World Bank World Development Indicators
,USD exchange rates,International Monetary Fund; where unavailable: UN Operational Exchange Rates

How to cite:,"For reference, please use: ""ITU ICT Price Baskets, historical data series, March 2022 release""",
Release date:,17-Mar-22,
Table for mapping historical to latest price baskets,,,,

Baskets_combined_simplified,Historical baskets,(data collection years),Latest basket (2021),
Fixed broadband basket,Fixed broadband basket (1GB),2008-2017,Fixed broadband basket (5GB),
Fixed broadband basket,Fixed broadband basket (5GB),2018-,Fixed broadband basket (5GB),
Data-only mobile broadband,"Mobile-broadband basket, postpaid computer-based (1GB)",2012-2017,Data-only mobile broadband 2GB,
Data-only mobile broadband,Data-only mobile broadband 1.5GB,2018-2020,Data-only mobile broadband 2GB,
Data-only mobile broadband,Data-only mobile broadband 2GB,2021-,Data-only mobile broadband 2GB,
Mobile-cellular basket – low usage,Mobile-cellular basket (30calls+100sms),2008-2017,Mobile-cellular basket – low usage (70min+20sms),
Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),2018-,Mobile-cellular basket – low usage (70min+20sms),
Mobile data and voice low-consumption basket,Low usage bundle (70min+20sms+500MB),2018-2020,Mobile data and voice low-consumption basket (70min+20sms+500MB),
Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),2021-,Mobile data and voice low-consumption basket (70min+20sms+500MB),
Mobile data and voice high-consumption basket,High usage bundle (140min+70sms+1.5GB),2018-2020,Mobile data and voice high-consumption basket (140min+70sms+2GB),
Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),2021-,Mobile data and voice high-consumption basket (140min+70sms+2GB),
IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,Aruba,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,2.81,NA,2.91,3.08,2.66,2.58
ABW,Aruba,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,65.94,NA,68.34,72.48,70.87,70.87
ABW,Aruba,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,28.06,NA,NA,57.24,NA,57.24,60.72,60.72,60.72
ABW,Aruba,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,1.96,NA,1.39,1.39,1.2,1.16
ABW,Aruba,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,45.96,NA,32.68,32.68,31.95,31.95
ABW,Aruba,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,39.9,NA,27.37,27.37,27.37,27.37
ABW,Aruba,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,1.26,1.35,1.16,1.13
ABW,Aruba,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,32.1,NA,29.73,31.64,30.93,30.93
ABW,Aruba,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,27.6,NA,NA,27.9,NA,24.91,26.5,26.5,26.5
ABW,Aruba,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,1.47,1.42
ABW,Aruba,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.02,40.02,39.12,39.12
ABW,Aruba,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.52,33.52,33.52,33.52
ABW,Aruba,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,1.47,1.42
ABW,Aruba,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.02,40.02,39.12,39.12
ABW,Aruba,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Other Economies,NA,NA,SIDS,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.52,33.52,33.52,33.52
AFG,Afghanistan,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,37.1,38.53,36.72,28.99,24.76,15.13,15.13,15.15,15.22
AFG,Afghanistan,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,NA,61.5,61.5,50.02,38.5,23.61,23.61,29.18,29.18
AFG,Afghanistan,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,22.57,21.84,20.81,14.73,11.76,6.94,6.94,6.53,6.47
AFG,Afghanistan,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,20.72,21.52,10.28,10.15,10.83,9.08,9.08,10.79,12.14
AFG,Afghanistan,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Asia & Pacific,LDC,LLDC,NA,Low income,NA,NA,NA,NA,NA,35.35,34.34,17.22,17.51,16.84,14.17,14.17,20.78,23.29
