Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,7.05,12.27,13.84,15.8,18.15,18.53,18.9,,,18.61,18.5,18.21,,,,17.87,17.8,
Africa Eastern and Southern,AFE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.11,0.13,0.15,0.18,0.2,0.29,0.35,0.46,0.54,0.52,0.51,0.54,0.7,0.62,0.74,
Afghanistan,AFG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.01,,0,0,0,0.02,0.02,0.03,0.04,0.05,0.07,
Africa Western and Central,AFW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.05,0.06,0.08,0.11,,0.11,0.11,0.14,0.15,0.24,0.24,0.27,0.28,0.39,
Angola,AGO,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.06,0.07,0.07,0.06,0.07,0.08,0.09,0.33,0.55,0.29,0.33,0.36,0.37,0.7,
Albania,ALB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.33,2.13,3.09,3.58,4.38,5.49,6.29,7.18,8.4,9.23,10.53,12.56,15.14,17.68,
Andorra,AND,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,4.92,8.24,13.11,18.05,22.41,24.65,27.16,29.01,30.76,32.64,34.34,36.32,39.35,42.03,44.52,46.31,47.13,47.89,
Arab World,ARB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.31,0.49,0.87,1.28,1.97,2.1,2.68,3.04,2.8,3.35,5.11,5.55,6.96,7.68,7.74,8.92,
United Arab Emirates,ARE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.06,0.25,0.48,0.82,1.38,2.82,4.54,6.16,7.86,8.72,9.2,9.69,10.45,11.33,11.85,13.33,13.86,29.11,31.4,31.17,32.81,
Argentina,ARG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.39,0.68,1.41,2.38,4.03,6.55,7.77,8.67,9.85,11.06,12.33,14.81,15.29,15.92,16.67,17.85,19.1,19.64,21.18,
